Food_items,Breakfast,Lunch,Dinner,VegNovVeg,Junk Food,Calories,Fats,Proteins,Iron,Calcium,Sodium,Potassium,Carbohydrates,Fibre,VitaminD,Sugars
Asparagus Cooked,0,1,1,0,0,22,0.2,2.4,0.91,23.0,14.0,224.0,4.1,2.0,0,1.3
Avocados,1,0,0,0,0,160,15.0,2.0,0.55,12.0,7.0,485.0,8.5,6.7,0,0.7
Bananas,1,0,0,0,0,89,0.3,1.1,0.26,5.0,1.0,358.0,23.0,2.6,0,12.0
Bagels made in wheat,0,1,1,0,1,250,1.5,10.0,2.76,20.0,439.0,165.0,49.0,4.1,0,6.1
Berries,1,0,0,0,0,349,0.4,14.0,6.8,190.0,298.0,77.0,77.0,13.0,0,46.0
Brocolli,0,1,1,0,0,25,0.5,3.8,1.27,118.0,56.0,343.0,3.1,2.8,0,0.6
Brown Rice,0,1,1,0,0,362,2.7,7.5,1.8,33.0,4.0,268.0,76.0,3.4,0,0.0
Cauliflower,0,1,1,0,0,32,0.3,3.0,0.72,32.0,259.0,278.0,6.3,3.3,0,0.0
American cheese,1,0,0,0,0,331,24.0,20.0,0.84,497.0,966.0,363.0,8.3,0.0,0,0.0
Coffee,1,0,0,0,0,2,0.0,0.3,0.02,2.0,1.0,50.0,0.2,0.0,0,0.0
Corn,1,1,1,0,0,97,1.4,3.3,0.55,2.0,253.0,3.3,22.0,2.7,0,7.7
Dark chocolates,0,0,1,0,1,556,32.0,5.5,2.13,30.0,6.0,502.0,60.0,6.5,0,48.0
Grapes,1,0,0,0,0,93,2.1,5.6,2.63,363.0,9.0,272.0,17.0,11.0,0,6.3
Milk,1,0,1,0,0,97,6.9,3.8,0.12,169.0,52.0,178.0,5.2,0.0,0,0.0
Cashew Nuts,1,0,0,0,0,553,44.0,18.0,6.68,37.0,12.0,660.0,30.0,3.3,0,5.9
Onions,0,1,1,0,0,40,0.1,1.1,0.21,23.0,4.0,146.0,9.3,1.7,0,4.2
Orange,1,0,0,0,0,97,0.2,1.5,0.8,161.0,3.0,212.0,25.0,11.0,0,0.0
Pasta canned with tomato sauce,0,1,1,0,1,71,0.7,2.2,0.91,13.0,381.0,192.0,14.0,0.9,0,4.0
Pears,1,0,0,0,0,57,0.1,0.4,0.18,9.0,1.0,116.0,15.0,3.1,0,9.8
Peas,0,1,1,0,0,81,0.4,5.4,1.47,25.0,5.0,244.0,14.0,5.7,0,5.7
Protein Powder,1,0,0,0,0,411,17.0,46.0,8.57,500.0,329.0,1129.0,19.0,7.1,200,5.7
Pumpkin,0,1,1,0,0,18,0.1,0.7,0.57,15.0,237.0,230.0,4.3,1.1,0,2.1
Tuna Salad,0,1,1,1,0,187,9.3,16.0,1.0,17.0,402.0,178.0,9.4,0.0,0,0.0
Tuna Fish,0,0,1,1,0,184,6.3,30.0,1.31,10.0,50.0,323.0,0.0,0.0,0,0.0
Peproni Pizza,0,0,1,0,1,298,14.0,12.0,2.14,146.0,692.0,199.0,30.0,1.8,0,3.2
Cheese Pizza,0,0,1,0,1,276,11.0,11.0,2.47,192.0,580.0,170.0,33.0,2.1,0,2.5
French Fries,0,1,1,0,1,289,14.0,3.5,0.91,17.0,357.0,545.0,37.0,3.9,0,0.3
Chicken Burger,0,1,1,1,1,292,15.0,18.0,0.62,13.0,859.0,315.0,20.0,1.3,0,0.0
Cheese Burger,0,1,1,0,1,256,12.0,13.0,2.78,92.0,660.0,178.0,25.0,1.4,0,0.0
Chicken Sandwich,0,1,1,1,1,257,12.0,15.0,1.32,92.0,605.0,256.0,23.0,1.2,0,5.0
Sugar Doughnuts,0,1,1,0,1,426,23.0,5.2,1.06,60.0,402.0,102.0,51.0,1.5,0,32.0
Chocolate Doughnuts,0,1,1,0,1,452,25.0,4.9,4.0,24.0,326.0,201.0,51.0,1.9,0,27.0
Pop Corn - Caramel,1,0,1,0,0,381,1.4,2.0,0.8,18.0,286.0,110.0,90.0,2.5,0,65.0
